"","HDI.Rank","Country","Ano_2013","Ano_2014","Classificacao","indices_crescimento"
"172",64," Trinidad and Tobago",0.771,0.772,"Alto",0.001
"173",96," Tunisia",0.72,0.721,"Alto",0.001
"174",72," Turkey",0.759,0.761,"Alto",0.002
"175",109," Turkmenistan",0.682,0.688,"Médio",0.00599999999999989
"176",163," Uganda",0.478,0.483,"Baixo",0.005
"177",81," Ukraine",0.746,0.747,"Alto",0.001
"178",41," United Arab Emirates",0.833,0.835,"Muito Alto",0.002
"179",14," United Kingdom",0.902,0.907,"Muito Alto",0.005
"180",8," United States",0.913,0.915,"Muito Alto",0.002
"181",52," Uruguay",0.79,0.793,"Alto",0.003
"182",114," Uzbekistan",0.672,0.675,"Médio",0.003
"183",134," Vanuatu",0.592,0.594,"Médio",0.002
"184",71," Venezuela (Bolivarian Republic of)",0.764,0.762,"Alto",-0.002
"185",116," Viet Nam",0.663,0.666,"Médio",0.003
"186",160," Yemen",0.498,0.498,"Baixo",0
"187",139," Zambia",0.58,0.586,"Médio",0.00600000000000001
"188",155," Zimbabwe",0.501,0.509,"Baixo",0.00800000000000001
